date,direction,entry_price,exit_price,pnl,exit_reason,momentum,quality,explosion,is_winner,entry_time,exit_time
2026-03-18,put,598.9500122070312,600.95,-2.0,stop,-40,5,5,False,10:30,11:00
2026-04-07,put,580.43,583.4,-2.97,stop,-40,7,4,False,10:55,12:00
