date,direction,entry_price,exit_price,stop_loss,target_1,target_2,range_high,range_low,exit_reason,pnl,pnl_pct,momentum,entry_time,exit_time,is_winner,sig_price_vs_range,sig_intraday_rsi,sig_intraday_macd,sig_vwap,sig_volume,sig_or_candle,sig_vix,sig_ema_cross,sig_gap_open,sig_prev_day_sr,sig_quality_score
2026-03-17,put,671.85,670.98,673.01,670.98,670.11,674.4299926757812,671.5599975585938,target_1,0.87,0.1295,-25,11:05,11:35,True,0,0,0,-20,5,0,0,-10.0,0.0,0.0,5.0
2026-03-18,put,665.969970703125,667.74,667.74,664.64,663.31,669.719970703125,665.719970703125,stop,-1.77,-0.2658,-45,10:30,11:05,False,-5,0,0,-20,5,-10,5,-10.0,0.0,0.0,6.0
2026-03-19,skip,0.0,0.0,0.0,0.0,0.0,659.469970703125,655.1699829101562,no_entry,0.0,0.0,-35,,,False,-5,0,0,-20,5,0,5,-10.0,-10.0,0.0,5.0
2026-03-20,put,651.8599853515625,654.11,654.11,650.17,648.48,656.6900024414062,651.47998046875,stop,-2.25,-0.3452,-60,10:30,11:20,False,-5,-20,0,-20,0,-10,5,-10.0,0.0,0.0,7.0
2026-03-23,call,661.65,659.14,659.14,663.53,665.42,662.27001953125,656.0700073242188,stop,-2.51,-0.3794,45,10:45,11:40,False,5,0,0,20,5,10,5,-10.0,10.0,0.0,7.0
2026-03-24,call,653.22,655.5,651.7,654.36,655.5,653.585693359375,649.8800048828125,target_2,2.28,0.349,25,10:30,10:50,True,5,-20,0,20,5,10,5,-10.0,-10.0,0.0,5.0
2026-03-25,skip,0.0,0.0,0.0,0.0,0.0,660.8900146484375,655.6699829101562,no_breakout,0.0,0.0,-10,,,False,0,20,0,-20,5,0,5,,,,
2026-03-26,call,654.43,652.76,652.76,655.68,656.94,654.8400268554688,650.72998046875,stop,-1.67,-0.2552,45,10:30,10:40,False,5,0,0,20,5,10,5,-10.0,-10.0,0.0,6.0
2026-03-27,put,639.0,640.65,640.65,637.76,636.53,642.6599731445312,638.593994140625,stop,-1.65,-0.2582,-65,10:35,11:00,False,-5,-20,0,-20,5,-10,5,-10.0,-10.0,0.0,8.0
2026-03-30,put,635.25,637.55,637.55,633.53,631.8,640.3699951171875,634.6799926757812,stop,-2.3,-0.3621,-65,10:35,10:55,False,-5,-20,0,-20,5,-10,5,-10.0,10.0,0.0,8.0
2026-03-31,call,642.49,640.6,640.6,643.91,645.33,642.9500122070312,638.3099975585938,stop,-1.89,-0.2942,40,10:30,10:40,False,5,0,0,20,0,10,5,-10.0,10.0,0.0,4.0
2026-04-01,call,655.74,654.5,654.5,656.67,657.6,656.0499877929688,653.0,stop,-1.24,-0.1891,60,10:35,10:40,False,0,20,0,20,5,10,5,-10.0,10.0,0.0,8.0
2026-04-02,call,650.5,654.13,648.08,652.31,654.13,651.0999755859375,645.1099853515625,target_2,3.63,0.558,65,10:30,10:35,True,5,20,0,20,5,10,5,-10.0,-10.0,0.0,8.0
2026-04-06,skip,0.0,0.0,0.0,0.0,0.0,659.719970703125,655.52001953125,no_entry,0.0,0.0,60,,,False,0,20,0,20,5,10,5,10.0,0.0,0.0,8.0
2026-04-07,skip,0.0,0.0,0.0,0.0,0.0,657.5800170898438,651.9199829101562,no_breakout,0.0,0.0,-20,,,False,0,0,20,-20,5,-10,5,,,,
2026-04-08,skip,0.0,0.0,0.0,0.0,0.0,677.0800170898438,673.969970703125,no_breakout,0.0,0.0,15,,,False,-5,20,20,-20,5,-10,5,,,,
2026-04-09,skip,0.0,0.0,0.0,0.0,0.0,675.7899169921875,673.9299926757812,no_breakout,0.0,0.0,20,,,False,-5,20,20,-20,5,0,0,,,,
2026-04-10,call,681.74,680.97,680.97,682.32,682.9,681.9299926757812,680.0280151367188,stop,-0.77,-0.1129,70,10:30,10:40,False,5,20,20,20,5,0,0,10.0,0.0,0.0,8.0
2026-04-13,call,679.68,680.73,678.28,680.73,681.78,680.02001953125,676.5800170898438,target_1,1.05,0.1545,80,10:30,12:20,True,5,20,20,20,5,10,0,10.0,-10.0,0.0,8.0
2026-04-14,call,690.989990234375,692.23,689.34,692.23,693.46,691.0499877929688,687.6599731445312,target_1,1.24,0.1795,80,10:30,11:25,True,5,20,20,20,5,10,0,10.0,0.0,0.0,8.0
2026-04-15,call,696.9199829101562,697.95,695.55,697.95,698.97,696.9400024414062,694.2000122070312,target_1,1.03,0.1478,80,10:30,13:35,True,5,20,20,20,5,10,0,10.0,0.0,0.0,8.0
2026-04-16,skip,0.0,0.0,0.0,0.0,0.0,701.1400146484375,698.530029296875,no_entry,0.0,0.0,-40,,,False,-5,20,-20,-20,5,-10,0,10.0,0.0,0.0,4.0
2026-04-17,call,709.239990234375,710.48,707.59,710.48,711.71,709.4600219726562,705.760009765625,target_1,1.24,0.1748,40,10:30,10:40,True,5,20,-20,20,5,10,0,10.0,10.0,0.0,7.0
